City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
519,Todos Santos,MX,78.01,23.45,-110.22,broken clouds,Hotel California Todos Santos
521,Castelnaudary,FR,79.0,43.32,1.95,broken clouds,Hôtel Restaurant le Clos Fleuri
522,Sarh,TD,80.6,9.14,18.39,scattered clouds,Hôtel des Chasses
524,Cap Malheureux,MU,75.99,-19.98,57.61,few clouds,Pereybere Hotel & Spa
525,Sape,BR,75.2,-7.1,-35.23,few clouds,Rua Simplício Francisco Nascimento
527,Balabac,PH,82.87,7.99,117.06,overcast clouds,Sing and Swing Lodge
530,Raigarh,IN,87.8,21.9,83.4,broken clouds,STARiHOTELS Sattigudi Chowk Raigarh
531,Genhe,CN,76.62,50.78,121.52,clear sky,Companionship Hotel
532,Saint George,US,77.0,37.1,-113.58,clear sky,Best Western Plus Abbey Inn
534,Polovinnoye,RU,87.49,54.79,65.99,clear sky,
535,Magadi,IN,82.4,12.97,77.23,broken clouds,Mindri of Magadi
536,Aroeiras,BR,73.96,-7.55,-35.71,few clouds,Hotel Acauã
538,Huilong,CN,87.01,31.81,121.66,broken clouds,Hilton Garden Inn Qidong
539,Guhagar,IN,82.98,17.48,73.19,light rain,Hotel Seawinds
540,Tumaco,CO,75.49,1.8,-78.82,light rain,Hotel los mellizos
544,Dandeli,IN,80.6,15.27,74.62,broken clouds,Shree Lodge
548,Turtas,RU,78.12,58.94,69.13,clear sky,Domashnyaya Gostinitsa
554,Suleja,NG,74.3,9.18,7.18,overcast clouds,Capy Motel
556,Russell,US,75.2,32.35,-85.2,light rain,Macs
560,Caraballeda,VE,70.0,10.61,-66.85,few clouds,Hotel 15 Letras
566,Svetlogorsk,BY,72.99,52.63,29.73,scattered clouds,Hotel Svetlogorsk JBIK
567,Neiafu,TO,76.98,-18.65,-173.98,scattered clouds,Mystic Sands
568,Saint-Georges,GD,78.8,12.06,-61.75,scattered clouds,Radisson Grenada Beach Resort
570,Mitu,CO,70.27,1.2,-70.17,light rain,
